,cause,cause_desc
4790,M710,Abscess of bursa
4791,M80031,"Age-related osteoporosis with current pathological fracture, right forearm"
4792,M8888,Osteitis deformans of other bones
4793,M8952,"Osteolysis, upper arm"
4794,N603,Fibrosclerosis of breast
4795,O1022,Pre-existing hypertensive chronic kidney disease complicating childbirth
4796,O2684,Uterine size-date discrepancy complicating pregnancy
4797,O36592,"Maternal care for other known or suspected poor fetal growth, second trimester"
4798,O9971,Diseases of the skin and subcutaneous tissue complicating pregnancy
4799,P839,"Condition of the integument specific to newborn, unspecified"
4800,R2972,NIHSS score 20-29
4801,R299,Unspecified symptoms and signs involving the nervous and musculoskeletal systems
4802,S0096,Insect bite (nonvenomous) of unspecified part of head
4803,S0211H,"Other fracture of occiput, left side"
4804,S065X3,Traumatic subdural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes
4805,A17,Tuberculosis of nervous system
4806,C699,Malignant neoplasm of unspecified site of eye
4807,D049,"Carcinoma in situ of skin, unspecified"
4808,D177,Benign lipomatous neoplasm of other sites
4809,E11349,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
4810,E2831,Premature menopause
4811,E806,Other disorders of bilirubin metabolism
4812,F1414,Cocaine abuse with cocaine-induced mood disorder
4813,F1694,"Hallucinogen use, unspecified with hallucinogen-induced mood disorder"
4814,F44,Dissociative and conversion disorders
4815,G242,Idiopathic nonfamilial dystonia
4816,H1100,Unspecified pterygium of eye
4817,H4401,Panophthalmitis (acute)
4818,H54113,"Blindness right eye category 3, low vision left eye"
4819,I96,"Gangrene, not elsewhere classified"
4820,K068,Other specified disorders of gingiva and edentulous alveolar ridge
4821,K858,Other acute pancreatitis
4822,L0222,Furuncle of trunk
4823,L0252,Furuncle hand
4824,M0287,"Other reactive arthropathies, ankle and foot"
4825,M2625,Anomalies of interarch distance
4826,M4848,"Fatigue fracture of vertebra, sacral and sacrococcygeal region"
4827,M6107,"Myositis ossificans traumatica, ankle and foot"
4828,M7138,"Other bursal cyst, other site"
4829,M7152,"Other bursitis, not elsewhere classified, elbow"
4830,M8656,"Other chronic hematogenous osteomyelitis, tibia and fibula"
4831,M951,Cauliflower ear
4832,N8332,Acquired atrophy of fallopian tube
4833,O2662,Liver and biliary tract disorders in childbirth
4834,O347,Maternal care for abnormality of vulva and perineum
4835,O9952,Diseases of the respiratory system complicating childbirth
4836,O9981,"Abnormal glucose complicating pregnancy, childbirth and the puerperium"
4837,P524,Intracerebral (nontraumatic) hemorrhage of newborn
4838,S0124,Puncture wound with foreign body of nose
4839,E11355,Type 2 diabetes mellitus with stable proliferative diabetic retinopathy
4840,E275,Adrenomedullary hyperfunction
4841,E760,"Mucopolysaccharidosis, type I"
4842,G219,"Secondary parkinsonism, unspecified"
4843,G578,Other specified mononeuropathies of lower limb
4844,H1629,Other keratoconjunctivitis
4845,H4442,Hypotony of eye due to ocular fistula
4846,I31,Other diseases of pericardium
4847,I50,Heart failure
4848,I6784,Cerebral vasospasm and vasoconstriction
4849,I6934,Monoplegia of lower limb following cerebral infarction
4850,M0208,"Arthropathy following intestinal bypass, vertebrae"
4851,M2107,"Valgus deformity, not elsewhere classified, ankle"
4852,M6013,"Interstitial myositis, forearm"
4853,M709,"Unspecified soft tissue disorder related to use, overuse and pressure"
4854,M84471,"Pathological fracture, right ankle"
4855,M84641,"Pathological fracture in other disease, right hand"
4856,M8551,"Aneurysmal bone cyst, shoulder"
4857,M8636,"Chronic multifocal osteomyelitis, tibia and fibula"
4858,M8641,"Chronic osteomyelitis with draining sinus, shoulder"
4859,M8706,Idiopathic aseptic necrosis of tibia and fibula
4860,M8788,"Other osteonecrosis, other site"
4861,O3000,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs"
4862,P129,"Birth injury to scalp, unspecified"
4863,Q894,Conjoined twins
4864,R098,Other specified symptoms and signs involving the circulatory and respiratory systems
4865,R22,"Localized swelling, mass and lump of skin and subcutaneous tissue"
4866,R33,Retention of urine
4867,R40241,Glasgow coma scale score 13-15
4868,S0120,Unspecified open wound of nose
4869,S0183,Puncture wound without foreign body of other part of head
4870,S02601,Fracture of unspecified part of body of right mandible
4871,S065X8,Traumatic subdural hemorrhage with loss of consciousness of any duration with death due to other cause before regaining consciousness
4872,C88,Malignant immunoproliferative diseases and certain other B-cell lymphomas
4873,D391,Neoplasm of uncertain behavior of ovary
4874,E7144,Other secondary carnitine deficiency
4875,E8311,Hemochromatosis
4876,F1028,Alcohol dependence with other alcohol-induced disorders
4877,G40A0,"Absence epileptic syndrome, not intractable"
4878,H051,Chronic inflammatory disorders of orbit
4879,H4082,Hypersecretion glaucoma
4880,H5012,Monocular exotropia with A pattern
4881,K401,"Bilateral inguinal hernia, with gangrene"
4882,K908,Other intestinal malabsorption
4883,M0216,"Postdysenteric arthropathy, knee"
4884,M1106,"Hydroxyapatite deposition disease, knee"
4885,M2116,"Varus deformity, not elsewhere classified, knee"
4886,M2401,Loose body in shoulder
4887,M2465,"Ankylosis, hip"
4888,M2533,"Other instability, wrist"
4889,M7149,"Calcium deposit in bursa, multiple sites"
4890,M84553,"Pathological fracture in neoplastic disease, unspecified femur"
4891,M8508,"Fibrous dysplasia (monostotic), other site"
4892,M8558,"Aneurysmal bone cyst, other site"
4893,M8958,"Osteolysis, other site"
4894,N51,Disorders of male genital organs in diseases classified elsewhere
4895,O02,Other abnormal products of conception
4896,O2442,Gestational diabetes mellitus in childbirth
4897,Q03,Congenital hydrocephalus
4898,Q39,Congenital malformations of esophagus
4899,R04,Hemorrhage from respiratory passages
4900,S060X1,Concussion with loss of consciousness of 30 minutes or less
4901,B108,Other human herpesvirus infection
4902,C969,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified"
4903,D22,Melanocytic nevi
4904,D375,Neoplasm of uncertain behavior of rectum
4905,D781,Accidental puncture and laceration of the spleen during a procedure
4906,E15,Nondiabetic hypoglycemic coma
4907,E668,Other obesity
4908,G244,Idiopathic orofacial dystonia
4909,G905,Complex regional pain syndrome I (CRPS I)
4910,H1142,Conjunctival edema
4911,H1805,Posterior corneal pigmentations
4912,H356,Retinal hemorrhage
4913,H5442A,"Blindness, left eye, category 3-5"
4914,J31,"Chronic rhinitis, nasopharyngitis and pharyngitis"
4915,M0505,"Felty's syndrome, hip"
4916,M2326,Derangement of other lateral meniscus due to old tear or injury
4917,M328,Other forms of systemic lupus erythematosus
4918,M4112,Adolescent scoliosis
4919,M541,Radiculopathy
4920,M6159,"Other ossification of muscle, multiple sites"
4921,M6634,"Spontaneous rupture of flexor tendons, hand"
4922,M84379,"Stress fracture, unspecified toe(s)"
4923,M84639,"Pathological fracture in other disease, unspecified ulna and radius"
4924,O80,Encounter for full-term uncomplicated delivery
4925,O899,"Complication of anesthesia during the puerperium, unspecified"
4926,Q516,Embryonic cyst of cervix
4927,Q517,Congenital fistulae between uterus and digestive and urinary tracts
4928,Q719,Unspecified reduction defect of upper limb
4929,S0005,Superficial foreign body of scalp
4930,S0095,Superficial foreign body of unspecified part of head
4931,S061X4,Traumatic cerebral edema with loss of consciousness of 6 hours to 24 hours
4932,A029,"Salmonella infection, unspecified"
4933,A53,Other and unspecified syphilis
4934,A95,Yellow fever
4935,B678,"Echinococcosis, unspecified, of liver"
4936,C740,Malignant neoplasm of cortex of adrenal gland
4937,D40,Neoplasm of uncertain behavior of male genital organs
4938,D418,Neoplasm of uncertain behavior of other specified urinary organs
4939,D47Z,"Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
4940,E7033,Albinism with hematologic abnormality
4941,E743,Other disorders of intestinal carbohydrate absorption
4942,E833,Disorders of phosphorus metabolism and phosphatases
4943,F1324,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder"
4944,F659,"Paraphilia, unspecified"
4945,G09,Sequelae of inflammatory diseases of central nervous system
4946,G4400,"Cluster headache syndrome, unspecified"
4947,G97,"Intraoperative and postprocedural complications and disorders of nervous system, not elsewhere classified"
4948,H1644,Deep vascularization of cornea
4949,H2589,Other age-related cataract
4950,H2621,Cataract with neovascularization
4951,H4762,Disorders of visual cortex in (due to) inflammatory disorders
4952,H5014,Monocular exotropia with other noncomitancies
4953,H6801,Acute Eustachian salpingitis
4954,I504,Combined systolic (congestive) and diastolic (congestive) heart failure
4955,I6902,Speech and language deficits following nontraumatic subarachnoid hemorrhage
4956,I7051,Atherosclerosis of nonautologous biological bypass graft(s) of the extremities intermittent claudication
4957,I7502,Atheroembolism of lower extremity
4958,J100,Influenza due to other identified influenza virus with pneumonia
4959,K801,Calculus of gallbladder with other cholecystitis
4960,L108,Other pemphigus
4961,M0638,"Rheumatoid nodule, vertebrae"
4962,M1102,"Hydroxyapatite deposition disease, elbow"
4963,M6629,"Spontaneous rupture of extensor tendons, multiple sites"
4964,M6733,"Transient synovitis, wrist"
4965,M84373,"Stress fracture, unspecified ankle"
4966,M8554,"Aneurysmal bone cyst, hand"
4967,M8637,"Chronic multifocal osteomyelitis, ankle and foot"
4968,M8729,"Osteonecrosis due to previous trauma, multiple sites"
4969,M8965,"Osteopathy after poliomyelitis, thigh"
4970,M9303,Acute on chronic slipped upper femoral epiphysis (nontraumatic)
4971,O6020,"Term delivery with preterm labor, unspecified trimester"
4972,O922,Other and unspecified disorders of breast associated with pregnancy and the puerperium
4973,B03,Smallpox
4974,C19,Malignant neoplasm of rectosigmoid junction
4975,C900,Multiple myeloma
4976,C903,Solitary plasmacytoma
4977,D032,Melanoma in situ of ear and external auricular canal
4978,F1315,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder"
4979,F1593,"Other stimulant use, unspecified with withdrawal"
4980,F1614,Hallucinogen abuse with hallucinogen-induced mood disorder
4981,H159,Unspecified disorder of sclera
4982,H1833,Rupture in Descemet's membrane
4983,H571,Ocular pain
4984,H9323,Hyperacusis
4985,I6339,Cerebral infarction due to thrombosis of other cerebral artery
4986,I8252,Chronic embolism and thrombosis of iliac vein
4987,L059,Pilonidal cyst and sinus without abscess
4988,L53,Other erythematous conditions
4989,L7452,Secondary focal hyperhidrosis
4990,M0284,"Other reactive arthropathies, hand"
4991,M0766,"Enteropathic arthropathies, knee"
4992,M2186,Other specified acquired deformities of lower leg
4993,M2335,"Other meniscus derangements, posterior horn of lateral meniscus"
4994,M2514,"Fistula, hand"
4995,M274,Other and unspecified cysts of jaw
4996,M355,Multifocal fibrosclerosis
4997,M432,Fusion of spine
4998,M479,"Spondylosis, unspecified"
4999,M6529,"Calcific tendinitis, multiple sites"
5000,M84445,"Pathological fracture, left finger(s)"
5001,M84621,"Pathological fracture in other disease, right humerus"
5002,M851,Skeletal fluorosis
5003,M8564,"Other cyst of bone, hand"
5004,M8659,"Other chronic hematogenous osteomyelitis, multiple sites"
5005,M8787,"Other osteonecrosis, ankle, foot and toes"
5006,N483,Priapism
5007,O3121,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester"
5008,P03,Newborn affected by other complications of labor and delivery
5009,P29,Cardiovascular disorders originating in the perinatal period
5010,P50,Newborn affected by intrauterine (fetal) blood loss
5011,Q668,Other congenital deformities of feet
5012,S0125,Open bite of nose
5013,A010,Typhoid fever
5014,A522,Asymptomatic neurosyphilis
5015,A779,"Spotted fever, unspecified"
5016,B19,Unspecified viral hepatitis
5017,C620,Malignant neoplasm of undescended testis
5018,D075,Carcinoma in situ of prostate
5019,D51,Vitamin B12 deficiency anemia
5020,D86,Sarcoidosis
5021,E08329,Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema
5022,E1061,Type 1 diabetes mellitus with diabetic arthropathy
5023,E138,Other specified diabetes mellitus with unspecified complications
5024,E34,Other endocrine disorders
5025,G041,Tropical spastic paraplegia
5026,G40B0,"Juvenile myoclonic epilepsy, not intractable"
5027,I6343,Cerebral infarction due to embolism of posterior cerebral artery
5028,I7061,Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication
5029,I7072,Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain
5030,K296,Other gastritis
5031,K746,Other and unspecified cirrhosis of liver
5032,L409,"Psoriasis, unspecified"
5033,L8981,Pressure ulcer of head
5034,M0217,"Postdysenteric arthropathy, ankle and foot"
5035,M0574,Rheumatoid arthritis with rheumatoid factor of hand without organ or systems involvement
5036,M0881,"Other juvenile arthritis, shoulder"
5037,M138,Other specified arthritis
5038,M315,Giant cell arteritis with polymyalgia rheumatica
5039,M610,Myositis ossificans traumatica
5040,M7101,"Abscess of bursa, shoulder"
5041,M7158,"Other bursitis, not elsewhere classified, other site"
5042,M80851,"Other osteoporosis with current pathological fracture, right femur"
5043,M84361,"Stress fracture, right tibia"
5044,M84452,"Pathological fracture, left femur"
5045,M991,Subluxation complex (vertebral)
5046,O926,Galactorrhea
5047,Q24,Other congenital malformations of heart
5048,Q713,Congenital absence of hand and finger
5049,Q7189,Other reduction defects of upper limb
5050,R14,Flatulence and related conditions
5051,R78,"Findings of drugs and other substances, not normally found in blood"
5052,S0001,Abrasion of scalp
5053,S00432,Contusion of left ear
5054,S0451,"Injury of facial nerve, right side"
5055,A543,Gonococcal infection of eye
5056,A544,Gonococcal infection of musculoskeletal system
5057,B37,Candidiasis
5058,B409,"Blastomycosis, unspecified"
5059,B698,Cysticercosis of other sites
5060,C821,Follicular lymphoma grade II
5061,D07,Carcinoma in situ of other and unspecified genital organs
5062,D758,Other specified diseases of blood and blood-forming organs
5063,F1629,Hallucinogen dependence with unspecified hallucinogen-induced disorder
5064,F1722,"Nicotine dependence, chewing tobacco"
5065,H35319,"Nonexudative age-related macular degeneration, unspecified eye"
5066,I959,"Hypotension, unspecified"
5067,L0223,Carbuncle of trunk
5068,M0883,"Other juvenile arthritis, wrist"
5069,M1017,"Lead-induced gout, ankle and foot"
5070,M1483,"Arthropathies in other specified diseases classified elsewhere, wrist"
5071,M2572,"Osteophyte, elbow"
5072,M79,"Other and unspecified soft tissue disorders, not elsewhere classified"
5073,M84431,"Pathological fracture, right ulna"
5074,M84569,"Pathological fracture in neoplastic disease, unspecified tibia and fibula"
5075,M8486,"Other disorders of continuity of bone, tibia and fibula"
5076,M8511,"Skeletal fluorosis, shoulder"
5077,O1042,Pre-existing secondary hypertension complicating childbirth
5078,O2673,Subluxation of symphysis (pubis) in the puerperium
5079,O3133,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester"
5080,O356,Maternal care for (suspected) damage to fetus by radiation
5081,O3690,"Maternal care for fetal problem, unspecified, unspecified trimester"
5082,O409,"Polyhydramnios, unspecified trimester"
5083,O714,Obstetric high vaginal laceration alone
5084,O715,Other obstetric injury to pelvic organs
5085,Q253,Supravalvular aortic stenosis
5086,Q30,Congenital malformations of nose
5087,R079,"Chest pain, unspecified"
5088,S01432,Puncture wound without foreign body of left cheek and temporomandibular area
5089,S0185,Open bite of other part of head
5090,A529,"Late syphilis, unspecified"
5091,B574,Chagas' disease (chronic) with nervous system involvement
5092,C38,"Malignant neoplasm of heart, mediastinum and pleura"
5093,C492,"Malignant neoplasm of connective and soft tissue of lower limb, including hip"
5094,C910,Acute lymphoblastic leukemia [ALL]
5095,D215,Benign neoplasm of connective and other soft tissue of pelvis
5096,D6831,"Hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
5097,E70,Disorders of aromatic amino-acid metabolism
5098,G043,Acute necrotizing hemorrhagic encephalopathy
5099,H1041,Chronic giant papillary conjunctivitis
5100,H171,Central corneal opacity
5101,H40113,"Primary open-angle glaucoma, bilateral"
5102,H521,Myopia
5103,H911,Presbycusis
5104,I498,Other specified cardiac arrhythmias
5105,I6981,Cognitive deficits following other cerebrovascular disease
5106,I8733,Chronic venous hypertension (idiopathic) with ulcer and inflammation
5107,J455,Severe persistent asthma
5108,J982,Interstitial emphysema
5109,K565,Intestinal adhesions [bands] with obstruction (postinfection)
5110,L82,Seborrheic keratosis
5111,M01X2,Direct infection of elbow in infectious and parasitic diseases classified elsewhere
5112,M0224,"Postimmunization arthropathy, hand"
5113,M0606,"Rheumatoid arthritis without rheumatoid factor, knee"
5114,M410,Infantile idiopathic scoliosis
5115,M6084,"Other myositis, hand"
5116,M7512,Complete rotator cuff tear or rupture not specified as traumatic
5117,M8548,"Solitary bone cyst, other site"
5118,M8728,"Osteonecrosis due to previous trauma, other site"
5119,M889,Osteitis deformans of unspecified bone
5120,M8929,"Other disorders of bone development and growth, multiple sites"
5121,M8943,"Other hypertrophic osteoarthropathy, forearm"
5122,O141,Severe pre-eclampsia
5123,P028,Newborn affected by other abnormalities of membranes
5124,Q60,Renal agenesis and other reduction defects of kidney
5125,Q7642,Congenital lordosis
5126,R8769,Abnormal cytological findings in specimens from other female genital organs
5127,R879,Unspecified abnormal finding in specimens from female genital organs
5128,S00272,Other superficial bite of left eyelid and periocular area
5129,S0097,Other superficial bite of unspecified part of head
5130,S0104,Puncture wound with foreign body of scalp
5131,B56,African trypanosomiasis
5132,B967,Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere
5133,C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
5134,C859,"Non-Hodgkin lymphoma, unspecified"
5135,D051,Intraductal carcinoma in situ of breast
5136,D166,Benign neoplasm of vertebral column
5137,D237,"Other benign neoplasm of skin of lower limb, including hip"
5138,E0865,Diabetes mellitus due to underlying condition with hyperglycemia
5139,E112,Type 2 diabetes mellitus with kidney complications
5140,F1096,"Alcohol use, unspecified with alcohol-induced persisting amnestic disorder"
5141,F1212,Cannabis abuse with intoxication
5142,H0441,Chronic dacryocystitis
5143,H5034,Intermittent alternating exotropia
5144,H534,Visual field defects
5145,H938X,Other specified disorders of ear
5146,I2573,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with angina pectoris
5147,I630,Cerebral infarction due to thrombosis of precerebral arteries
5148,I67,Other cerebrovascular diseases
5149,I8023,Phlebitis and thrombophlebitis of tibial vein
5150,I8322,Varicose veins of left lower extremity with both ulcer and inflammation
5151,K222,Esophageal obstruction
5152,M0009,Staphylococcal polyarthritis
5153,M0027,"Other streptococcal arthritis, ankle and foot"
5154,M0582,Other rheumatoid arthritis with rheumatoid factor of elbow
5155,M0826,"Juvenile rheumatoid arthritis with systemic onset, knee"
5156,M1A269,"Drug-induced chronic gout, unspecified knee"
5157,M4857,"Collapsed vertebra, not elsewhere classified, lumbosacral region"
5158,M6154,"Other ossification of muscle, hand"
5159,M6221,"Nontraumatic ischemic infarction of muscle, shoulder"
5160,M762,Iliac crest spur
5161,M8533,"Osteitis condensans, forearm"
5162,M8638,"Chronic multifocal osteomyelitis, other site"
5163,M8935,"Hypertrophy of bone, femur"
5164,N07,"Hereditary nephropathy, not elsewhere classified"
5165,O36091,"Maternal care for other rhesus isoimmunization, first trimester"
5166,Q23,Congenital malformations of aortic and mitral valves
5167,R418,Other symptoms and signs involving cognitive functions and awareness
5168,S01341,Puncture wound with foreign body of right ear
5169,S02651,Fracture of angle of right mandible
5170,S0442,"Injury of abducent nerve, left side"
5171,S065X5,Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level
5172,A85,"Other viral encephalitis, not elsewhere classified"
5173,B338,Other specified viral diseases
5174,B575,Chagas' disease (chronic) with other organ involvement
5175,D214,Benign neoplasm of connective and other soft tissue of abdomen
5176,D316,Benign neoplasm of unspecified site of orbit
5177,E114,Type 2 diabetes mellitus with neurological complications
5178,E7529,Other sphingolipidosis
5179,E782,Mixed hyperlipidemia
5180,F319,"Bipolar disorder, unspecified"
5181,F80,Specific developmental disorders of speech and language
5182,G258,Other specified extrapyramidal and movement disorders
5183,G445,Complicated headache syndromes
5184,H1500,Unspecified scleritis
5185,H1623,Neurotrophic keratoconjunctivitis
5186,H4339,Other vitreous opacities
5187,H4723,Glaucomatous optic atrophy
5188,I099,"Rheumatic heart disease, unspecified"
5189,I445,Left posterior fascicular block
5190,I800,Phlebitis and thrombophlebitis of superficial vessels of lower extremities
5191,I8730,Chronic venous hypertension (idiopathic) without complications
5192,J013,Acute sphenoidal sinusitis
5193,K03,Other diseases of hard tissues of teeth
5194,K74,Fibrosis and cirrhosis of liver
5195,K800,Calculus of gallbladder with acute cholecystitis
5196,L238,Allergic contact dermatitis due to other agents
5197,L986,Other infiltrative disorders of the skin and subcutaneous tissue
5198,M0004,"Staphylococcal arthritis, hand"
5199,M0525,Rheumatoid vasculitis with rheumatoid arthritis of hip
5200,M0882,"Other juvenile arthritis, elbow"
5201,M2542,"Effusion, elbow"
5202,M8611,"Other acute osteomyelitis, shoulder"
5203,M8922,"Other disorders of bone development and growth, humerus"
5204,M999,"Biomechanical lesion, unspecified"
5205,N993,Prolapse of vaginal vault after hysterectomy
5206,O009,"Ectopic pregnancy, unspecified"
5207,O41123,"Chorioamnionitis, third trimester"
5208,O9853,Other viral diseases complicating the puerperium
5209,Q618,Other cystic kidney diseases
5210,Q641,Exstrophy of urinary bladder
5211,Q663,Other congenital varus deformities of feet
5212,R402,Coma
5213,R798,Other specified abnormal findings of blood chemistry
5214,S01331,Puncture wound without foreign body of right ear
5215,S01419,Laceration without foreign body of unspecified cheek and temporomandibular area
5216,S02642,Fracture of ramus of left mandible
5217,S066X1,Traumatic subarachnoid hemorrhage with loss of consciousness of 30 minutes or less
5218,S1091,Abrasion of unspecified part of neck
5219,S1189,Other open wound of other specified part of neck
5220,S1193,Puncture wound without foreign body of unspecified part of neck
5221,A049,"Bacterial intestinal infection, unspecified"
5222,A74,Other diseases caused by chlamydiae
5223,C49A,Gastrointestinal stromal tumor
5224,C780,Secondary malignant neoplasm of lung
5225,D098,Carcinoma in situ of other specified sites
5226,D369,"Benign neoplasm, unspecified site"
5227,F1218,Cannabis abuse with other cannabis-induced disorder
5228,F509,"Eating disorder, unspecified"
5229,H1105,"Peripheral pterygium of eye, progressive"
5230,H952,Intraoperative hemorrhage and hematoma of ear and mastoid process complicating a procedure
5231,H953,Accidental puncture and laceration of ear and mastoid process during a procedure
5232,I8242,Acute embolism and thrombosis of iliac vein
5233,I8259,Chronic embolism and thrombosis of other specified deep vein of lower extremity
5234,J33,Nasal polyp
5235,K13,Other diseases of lip and oral mucosa
5236,K551,Chronic vascular disorders of intestine
5237,L010,Impetigo
5238,L8902,Pressure ulcer of left elbow
5239,M0535,Rheumatoid heart disease with rheumatoid arthritis of hip
5240,M0563,Rheumatoid arthritis of wrist with involvement of other organs and systems
5241,M1A321,"Chronic gout due to renal impairment, right elbow"
5242,M1A339,"Chronic gout due to renal impairment, unspecified wrist"
5243,M6015,"Interstitial myositis, thigh"
5244,M6727,"Synovial hypertrophy, not elsewhere classified, ankle and foot"
5245,M84369,"Stress fracture, unspecified tibia and fibula"
5246,M8487,"Other disorders of continuity of bone, ankle and foot"
5247,M870,Idiopathic aseptic necrosis of bone
5248,M9329,Osteochondritis dissecans multiple sites
5249,M942,Chondromalacia
5250,M955,Acquired deformity of pelvis
5251,N946,"Dysmenorrhea, unspecified"
5252,O3103,"Papyraceous fetus, third trimester"
5253,O3680,Pregnancy with inconclusive fetal viability
5254,O669,"Obstructed labor, unspecified"
5255,O85,Puerperal sepsis
5256,Q521,Doubling of vagina
5257,Q611,"Polycystic kidney, infantile type"
5258,R40213,"Coma scale, eyes open, to sound"
5259,S04041,"Injury of visual cortex, right side"
5260,A20,Plague
5261,C76,Malignant neoplasm of other and ill-defined sites
5262,D304,Benign neoplasm of urethra
5263,D474,Osteomyelofibrosis
5264,D48,Neoplasm of uncertain behavior of other and unspecified sites
5265,E00,Congenital iodine-deficiency syndrome
5266,E1361,Other specified diabetes mellitus with diabetic arthropathy
5267,E663,Overweight
5268,E741,Disorders of fructose metabolism
5269,G211,Other drug-induced secondary parkinsonism
5270,G312,Degeneration of nervous system due to alcohol
5271,G570,Lesion of sciatic nerve
5272,H341,Central retinal artery occlusion
5273,H4052,"Glaucoma secondary to other eye disorders, left eye"
5274,H4751,Disorders of visual pathways in (due to) inflammatory disorders
5275,H6549,Other chronic nonsuppurative otitis media
5276,H933X,Disorders of acoustic nerve
5277,H940,Acoustic neuritis in infectious and parasitic diseases classified elsewhere
5278,I6342,Cerebral infarction due to embolism of anterior cerebral artery
5279,J14,Pneumonia due to Hemophilus influenzae
5280,J351,Hypertrophy of tonsils
5281,K5289,Other specified noninfective gastroenteritis and colitis
5282,K929,"Disease of digestive system, unspecified"
5283,M084,Pauciarticular juvenile rheumatoid arthritis
5284,M1A449,"Other secondary chronic gout, unspecified hand"
5285,M1023,"Drug-induced gout, wrist"
5286,M104,Other secondary gout
5287,M1114,"Familial chondrocalcinosis, hand"
5288,M1255,"Traumatic arthropathy, hip"
5289,M1381,"Other specified arthritis, shoulder"
5290,M15,Polyosteoarthritis
5291,M184,Other bilateral secondary osteoarthritis of first carpometacarpal joints
5292,M2444,"Recurrent dislocation, hand and finger(s)"
5293,M6005,"Infective myositis, thigh"
5294,M7084,"Other soft tissue disorders related to use, overuse and pressure of hand"
5295,N854,Malposition of uterus
5296,N90,Other noninflammatory disorders of vulva and perineum
5297,O2671,Subluxation of symphysis (pubis) in pregnancy
5298,O3089,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs"
5299,O3623,"Maternal care for hydrops fetalis, third trimester"
5300,O3663,"Maternal care for excessive fetal growth, third trimester"
5301,O3692,"Maternal care for fetal problem, unspecified, second trimester"
5302,Q653,"Congenital partial dislocation of hip, unilateral"
5303,R908,Other abnormal findings on diagnostic imaging of central nervous system
5304,S06310,Contusion and laceration of right cerebrum without loss of consciousness
5305,S066X9,Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration
5306,S1181,Laceration without foreign body of other specified part of neck
5307,C348,Malignant neoplasm of overlapping sites of bronchus and lung
5308,D354,Benign neoplasm of pineal gland
5309,D46B,Refractory cytopenia with multilineage dysplasia and ring sideroblasts
5310,D50,Iron deficiency anemia
5311,D619,"Aplastic anemia, unspecified"
5312,D64,Other anemias
5313,D7282,Elevated white blood cell count
5314,D84,Other immunodeficiencies
5315,E1337,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment"
5316,E73,Lactose intolerance
5317,F1523,Other stimulant dependence with withdrawal
5318,G00,"Bacterial meningitis, not elsewhere classified"
5319,H1102,Central pterygium of eye
5320,H1861,"Keratoconus, stable"
5321,H4001,"Open angle with borderline findings, low risk"
5322,H492,Sixth [abducent] nerve palsy
5323,H7001,Subperiosteal abscess of mastoid
5324,I23,Certain current complications following ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (within the 28 day period)
5325,J00,Acute nasopharyngitis [common cold]
5326,J13,Pneumonia due to Streptococcus pneumoniae
5327,L8951,Pressure ulcer of right ankle
5328,M0687,"Other specified rheumatoid arthritis, ankle and foot"
5329,M0827,"Juvenile rheumatoid arthritis with systemic onset, ankle and foot"
5330,M1A112,"Lead-induced chronic gout, left shoulder"
5331,M1A212,"Drug-induced chronic gout, left shoulder"
5332,M1201,"Chronic postrheumatic arthropathy [Jaccoud], shoulder"
5333,M210,"Valgus deformity, not elsewhere classified"
5334,M234,Loose body in knee
5335,M488X,Other specified spondylopathies
5336,M8515,"Skeletal fluorosis, thigh"
5337,M9385,Other specified osteochondropathies of thigh
5338,N631,Unspecified lump in the right breast
5339,N64,Other disorders of breast
5340,O0929,Supervision of pregnancy with other poor reproductive or obstetric history
5341,O353,Maternal care for (suspected) damage to fetus from viral disease in mother
5342,O6010,"Preterm labor with preterm delivery, unspecified trimester"
5343,Q256,Stenosis of pulmonary artery
5344,Q258,Other congenital malformations of other great arteries
5345,R392,Extrarenal uremia
5346,S0195,Open bite of unspecified part of head
5347,S0441,"Injury of abducent nerve, right side"
5348,C07,Malignant neoplasm of parotid gland
5349,D000,"Carcinoma in situ of lip, oral cavity and pharynx"
